[20-11-2018 17:23:20] sorendam1 reached 19 CPS, VL=2
[20-11-2018 17:23:21] sorendam1 reached 24 CPS, VL=3
[20-11-2018 17:23:22] sorendam1 reached 24 CPS, VL=4
[20-11-2018 17:23:23] sorendam1 reached 22 CPS, VL=1
[20-11-2018 17:23:27] TheWolfieMan reached 19 CPS, VL=1
[20-11-2018 17:23:27] _tryhard_v2 reached 42 CPS, VL=1
[20-11-2018 17:23:27] FeelsPianoMan reached 24 CPS, VL=1
[20-11-2018 17:23:27] sorendam1 reached 74 CPS, VL=2
[20-11-2018 17:23:27] SnowGamerDK reached 23 CPS, VL=1
[20-11-2018 17:23:36] sorendam1 reached 29 CPS, VL=1
[20-11-2018 17:23:37] sorendam1 reached 20 CPS, VL=2
[20-11-2018 17:23:38] sorendam1 reached 22 CPS, VL=3
[20-11-2018 17:23:40] sorendam1 reached 27 CPS, VL=1
[20-11-2018 17:23:41] sorendam1 reached 22 CPS, VL=2
[20-11-2018 17:23:42] sorendam1 reached 25 CPS, VL=3
[20-11-2018 17:29:08] daniel1639 reached 22 CPS, VL=1
[20-11-2018 17:29:08] Casperlund15 reached 38 CPS, VL=1
[20-11-2018 17:29:40] thor_bjoernen reached 22 CPS, VL=1
[20-11-2018 17:30:44] Itzpandapvpmc reached 23 CPS, VL=1
[20-11-2018 17:30:44] _ItzSnake reached 23 CPS, VL=1
[20-11-2018 17:31:16] Philipsd2007 reached 20 CPS, VL=1
[20-11-2018 17:31:48] Itzpandapvpmc reached 22 CPS, VL=1
[20-11-2018 17:31:48] SandziMC reached 18 CPS, VL=1
[20-11-2018 17:31:48] TristanThorn reached 20 CPS, VL=1
[20-11-2018 17:32:19] Philipsd2007 reached 18 CPS, VL=1
[20-11-2018 17:32:51] Philipsd2007 reached 22 CPS, VL=1
[20-11-2018 17:33:50] _tryhard_v2 reached 21 CPS, VL=1
[20-11-2018 17:33:56] _tryhard_v2 reached 50 CPS, VL=1
[20-11-2018 17:33:56] SPEEDY_CTRL reached 28 CPS, VL=1
[20-11-2018 17:34:28] NowiErSmuk reached 20 CPS, VL=1
[20-11-2018 17:34:28] SPEEDY_CTRL reached 39 CPS, VL=1
