[18-11-2018 19:35:53] Cr4zyD3rp reached 22 CPS, VL=1
[18-11-2018 19:35:53] xS1las reached 34 CPS, VL=1
[18-11-2018 19:43:03] TSM_Myht reached 276 CPS, VL=1
[18-11-2018 19:43:06] TSM_Myht reached 322 CPS, VL=1
[18-11-2018 19:43:07] TSM_Myht reached 228 CPS, VL=2
[18-11-2018 19:43:08] TSM_Myht reached 242 CPS, VL=3
[18-11-2018 19:43:09] TSM_Myht reached 158 CPS, VL=4
[18-11-2018 19:43:21] TSM_Myht reached 160 CPS, VL=1
[18-11-2018 19:43:22] TSM_Myht reached 352 CPS, VL=2
[18-11-2018 19:43:23] TSM_Myht reached 220 CPS, VL=3
