[21-11-2018 16:57:04] chokokagen reached 25 CPS, VL=1
[21-11-2018 16:57:04] MarkEscobar reached 27 CPS, VL=1
[21-11-2018 16:57:04] sorendam1 reached 32 CPS, VL=4
[21-11-2018 16:57:07] thor_bjoernen reached 25 CPS, VL=1
[21-11-2018 16:57:07] MarkEscobar reached 27 CPS, VL=2
[21-11-2018 16:57:07] sorendam1 reached 23 CPS, VL=1
[21-11-2018 16:57:28] MarkEscobar reached 20 CPS, VL=1
[21-11-2018 16:57:28] thor_bjoernen reached 45 CPS, VL=1
[21-11-2018 16:57:28] andreasplays45 reached 35 CPS, VL=1
[21-11-2018 16:57:28] Itzpandapvpmc reached 28 CPS, VL=1
[21-11-2018 16:57:28] sorendam1 reached 36 CPS, VL=1
[21-11-2018 16:57:46] chokokagen reached 84 CPS, VL=1
[21-11-2018 16:57:46] thor_bjoernen reached 55 CPS, VL=2
[21-11-2018 16:57:46] MarkEscobar reached 89 CPS, VL=2
[21-11-2018 16:57:46] DumDreng reached 50 CPS, VL=1
[21-11-2018 16:57:46] andreasplays45 reached 31 CPS, VL=2
[21-11-2018 16:57:46] Itzpandapvpmc reached 58 CPS, VL=2
[21-11-2018 16:57:46] sorendam1 reached 92 CPS, VL=2
[21-11-2018 16:57:46] viktortelinYT reached 41 CPS, VL=1
[21-11-2018 16:57:55] thor_bjoernen reached 20 CPS, VL=1
[21-11-2018 16:57:55] DumDreng reached 23 CPS, VL=1
[21-11-2018 16:57:55] Fru_Freya reached 18 CPS, VL=1
[21-11-2018 16:57:55] sorendam1 reached 30 CPS, VL=1
[21-11-2018 16:58:39] PatrickKopp reached 18 CPS, VL=1
[21-11-2018 16:58:55] Fru_Freya reached 22 CPS, VL=1
[21-11-2018 16:59:30] thor_bjoernen reached 19 CPS, VL=1
[21-11-2018 17:00:02] chokokagen reached 21 CPS, VL=1
[21-11-2018 17:00:02] thor_bjoernen reached 21 CPS, VL=1
[21-11-2018 17:00:18] nunnilukas reached 21 CPS, VL=1
[21-11-2018 17:01:03] nunnilukas reached 19 CPS, VL=1
[21-11-2018 17:01:37] Timed_ reached 19 CPS, VL=1
[21-11-2018 17:01:37] MTT2909 reached 37 CPS, VL=1
[21-11-2018 17:02:38] MarkEscobar reached 18 CPS, VL=1
[21-11-2018 17:02:49] nunnilukas reached 25 CPS, VL=1
[21-11-2018 17:03:11] MarkEscobar reached 34 CPS, VL=1
[21-11-2018 17:03:11] thor_bjoernen reached 24 CPS, VL=1
[21-11-2018 17:03:43] thor_bjoernen reached 24 CPS, VL=1
[21-11-2018 17:04:14] chokokagen reached 19 CPS, VL=1
[21-11-2018 17:04:48] chokokagen reached 21 CPS, VL=1
[21-11-2018 17:04:48] thor_bjoernen reached 20 CPS, VL=1
[21-11-2018 17:04:48] nunnilukas reached 40 CPS, VL=1
[21-11-2018 17:04:48] Icedragon006 reached 22 CPS, VL=1
[21-11-2018 17:04:48] DumDreng reached 20 CPS, VL=1
[21-11-2018 17:04:55] nunnilukas reached 22 CPS, VL=1
[21-11-2018 17:05:20] nunnilukas reached 32 CPS, VL=1
[21-11-2018 17:05:26] nunnilukas reached 18 CPS, VL=1
[21-11-2018 17:05:27] nunnilukas reached 20 CPS, VL=2
